group subNo block index seqDur shortLong nTargets nIOI rhythmicVarTAG seqSTD seqMeanIOI seqSumIOI Lowbound Upbound pressedKey rt seqDuration startInterval trialDuration IOI1 IOI2 IOI3 IOI4 IOI5 IOI6 IOI7 IOI8 IOI9 
main 5.0000 1.0000 46.0000 5.0000 0.0000 5.0000 4.0000 0.0000 0.0000 0.2500 1.0000 0.0000 0.0000 b 0.2710 1.2500 1.1809 2.4423 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 0.0000 
main 5.0000 1.0000 62.0000 10.0000 2.0000 10.0000 9.0000 1.0000 0.0570 0.2502 2.2520 0.0349 0.0588 b 0.2050 2.5020 1.2843 3.7942 0.1554 0.2750 0.3192 0.2323 0.1764 0.2467 0.2903 0.2418 0.3150 
main 5.0000 1.0000 38.0000 9.0000 1.0000 9.0000 8.0000 1.0000 0.0568 0.2505 2.0036 0.0349 0.0588 b 0.1720 2.2536 1.3834 3.6459 0.2733 0.1517 0.1897 0.3304 0.2871 0.2490 0.2791 0.2433 0.0000 
main 5.0000 1.0000 42.0000 10.0000 2.0000 10.0000 9.0000 2.0000 0.0945 0.2504 2.2537 0.0906 0.1145 b 0.1730 2.5037 1.2489 3.7625 0.1522 0.2890 0.3306 0.2117 0.3534 0.2005 0.1643 0.3996 0.1523 
main 5.0000 1.0000 50.0000 6.0000 0.0000 6.0000 5.0000 1.0000 0.0569 0.2501 1.2504 0.0349 0.0588 b 0.2300 1.5004 1.1730 2.6759 0.2593 0.2867 0.1585 0.3054 0.2406 0.0000 0.0000 0.0000 0.0000 
main 5.0000 1.0000 16.0000 9.0000 1.0000 9.0000 8.0000 0.0000 0.0000 0.2500 2.0000 0.0000 0.0000 b 0.2010 2.2500 1.3136 3.5590 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 
main 5.0000 1.0000 13.0000 8.0000 1.0000 8.0000 7.0000 0.0000 0.0000 0.2500 1.7500 0.0000 0.0000 b 0.1670 2.0000 1.3235 3.3257 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 
main 5.0000 1.0000 25.0000 5.0000 0.0000 5.0000 4.0000 0.0000 0.0000 0.2500 1.0000 0.0000 0.0000 b 0.1980 1.2500 1.2983 2.5423 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 0.0000 
main 5.0000 1.0000 40.0000 10.0000 2.0000 10.0000 9.0000 0.0000 0.0000 0.2500 2.2500 0.0000 0.0000 b 0.1490 2.5000 1.1398 3.6422 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 
main 5.0000 1.0000 11.0000 7.0000 1.0000 7.0000 6.0000 1.0000 0.0449 0.2497 1.4981 0.0349 0.0588 b 0.1810 1.7481 1.3903 3.1405 0.2627 0.1874 0.2144 0.2411 0.3097 0.2829 0.0000 0.0000 0.0000 
main 5.0000 1.0000 37.0000 9.0000 1.0000 9.0000 8.0000 0.0000 0.0000 0.2500 2.0000 0.0000 0.0000 b 0.1500 2.2500 1.1835 3.4256 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 
main 5.0000 1.0000 10.0000 7.0000 1.0000 7.0000 6.0000 0.0000 0.0000 0.2500 1.5000 0.0000 0.0000 b 0.1970 1.7500 1.0226 2.7754 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 
main 5.0000 1.0000 52.0000 7.0000 1.0000 7.0000 6.0000 0.0000 0.0000 0.2500 1.5000 0.0000 0.0000 b 0.1390 1.7500 1.3805 3.1257 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 
main 5.0000 1.0000 7.0000 6.0000 0.0000 6.0000 5.0000 0.0000 0.0000 0.2500 1.2500 0.0000 0.0000 b 0.1710 1.5000 1.4458 2.9422 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 
main 5.0000 1.0000 61.0000 10.0000 2.0000 10.0000 9.0000 0.0000 0.0000 0.2500 2.2500 0.0000 0.0000 b 0.1520 2.5000 1.4558 3.9424 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 
main 5.0000 1.0000 8.0000 6.0000 0.0000 6.0000 5.0000 1.0000 0.0364 0.2503 1.2516 0.0349 0.0588 b 0.2000 1.5016 1.3709 2.8772 0.3070 0.2391 0.2111 0.2616 0.2327 0.0000 0.0000 0.0000 0.0000 
main 5.0000 1.0000 54.0000 7.0000 1.0000 7.0000 6.0000 2.0000 0.1135 0.2495 1.4967 0.0906 0.1145 b 0.2150 1.7467 1.3718 3.1224 0.3924 0.1672 0.3899 0.1557 0.2342 0.1573 0.0000 0.0000 0.0000 
main 5.0000 1.0000 47.0000 5.0000 0.0000 5.0000 4.0000 1.0000 0.0497 0.2491 0.9962 0.0349 0.0588 b 0.1910 1.2462 1.3611 2.6052 0.2974 0.1851 0.2776 0.2362 0.0000 0.0000 0.0000 0.0000 0.0000 
main 5.0000 1.0000 33.0000 7.0000 1.0000 7.0000 6.0000 2.0000 0.0983 0.2502 1.5010 0.0906 0.1145 b 0.1820 1.7510 1.3173 3.0767 0.2425 0.1559 0.3506 0.2163 0.3852 0.1506 0.0000 0.0000 0.0000 
main 5.0000 1.0000 58.0000 9.0000 1.0000 9.0000 8.0000 0.0000 0.0000 0.2500 2.0000 0.0000 0.0000 b 0.1890 2.2500 1.4720 3.7258 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 
main 5.0000 1.0000 22.0000 4.0000 0.0000 4.0000 3.0000 0.0000 0.0000 0.2500 0.7500 0.0000 0.0000 b 0.2220 1.0000 1.0477 2.0588 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
main 5.0000 1.0000 29.0000 6.0000 0.0000 6.0000 5.0000 1.0000 0.0551 0.2509 1.2545 0.0349 0.0588 b 0.2020 1.5045 1.4457 2.9470 0.3249 0.2189 0.2875 0.2362 0.1870 0.0000 0.0000 0.0000 0.0000 
main 5.0000 1.0000 6.0000 5.0000 0.0000 5.0000 4.0000 2.0000 0.0922 0.2491 0.9964 0.0906 0.1145 b 0.2040 1.2464 1.0431 2.2886 0.1649 0.3684 0.2739 0.1893 0.0000 0.0000 0.0000 0.0000 0.0000 
