colour subNo block index seqDur seqDurTag nTargets nIOI rhythmicVarTAG seqSTD seqMeanIOI seqSumIOI stdLowbound stdUpbound pressedKey rt seqDuration startInterval trialDuration IOI1 IOI2 IOI3 IOI4 IOI5 IOI6 IOI7 IOI8 IOI9 IOI10 IOI11 IOI12 
masterclass 4.0000 1.0000 6.0000 5.0000 1.0000 5.0000 4.0000 2.0000 0.1055 0.2504 1.0014 0.0500 0.0900 m 0.1390 1.2514 1.6212 2.8606 0.1518 0.3977 0.2458 0.2060 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
masterclass 4.0000 1.0000 2.0000 4.0000 1.0000 4.0000 3.0000 1.0000 0.0268 0.2497 0.7491 0.0500 0.0900 m 0.1510 0.9991 1.5171 2.5082 0.2623 0.2189 0.2679 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
masterclass 4.0000 1.0000 7.0000 6.0000 1.0000 6.0000 5.0000 0.0000 0.0000 0.2500 1.2500 0.0500 0.0900 m 0.1800 1.5000 1.5448 3.0424 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
masterclass 4.0000 1.0000 8.0000 6.0000 1.0000 6.0000 5.0000 1.0000 0.0443 0.2498 1.2489 0.0500 0.0900 m 0.2690 1.4989 1.6652 3.1580 0.3030 0.2476 0.2172 0.2840 0.1972 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
masterclass 4.0000 1.0000 14.0000 11.0000 2.0000 11.0000 10.0000 1.0000 0.0498 0.2500 2.5000 0.0500 0.0900 m 0.2710 2.7500 1.6525 4.3924 0.2285 0.2926 0.3283 0.1617 0.2863 0.2176 0.2568 0.2886 0.2056 0.2340 0.0000 0.0000 
masterclass 4.0000 1.0000 13.0000 11.0000 2.0000 11.0000 10.0000 0.0000 0.0000 0.2500 2.5000 0.0500 0.0900 m 0.1950 2.7500 1.6123 4.3591 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 
masterclass 4.0000 1.0000 10.0000 10.0000 2.0000 10.0000 9.0000 0.0000 0.0000 0.2500 2.2500 0.0500 0.0900 m 0.1850 2.5000 1.7062 4.1924 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 
masterclass 4.0000 1.0000 16.0000 12.0000 2.0000 12.0000 11.0000 0.0000 0.0000 0.2500 2.7500 0.0500 0.0900 m 0.3750 3.0000 1.6194 4.6091 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 
masterclass 4.0000 1.0000 15.0000 11.0000 2.0000 11.0000 10.0000 2.0000 0.0914 0.2502 2.5019 0.0500 0.0900 m 0.1770 2.7519 1.7080 4.4443 0.2869 0.2419 0.3995 0.1684 0.3960 0.2889 0.1939 0.1542 0.2123 0.1598 0.0000 0.0000 
masterclass 4.0000 1.0000 4.0000 5.0000 1.0000 5.0000 4.0000 0.0000 0.0000 0.2500 1.0000 0.0500 0.0900 m 0.1790 1.2500 1.5011 2.7423 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
masterclass 4.0000 1.0000 12.0000 10.0000 2.0000 10.0000 9.0000 2.0000 0.0973 0.2505 2.2545 0.0500 0.0900 m 0.1990 2.5045 1.7369 4.2303 0.3660 0.2132 0.1553 0.3965 0.2215 0.1535 0.3642 0.2092 0.1750 0.0000 0.0000 0.0000 
masterclass 4.0000 1.0000 1.0000 4.0000 1.0000 4.0000 3.0000 0.0000 0.0000 0.2500 0.7500 0.0500 0.0900 m 0.2650 1.0000 1.5363 2.5258 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
masterclass 4.0000 1.0000 11.0000 10.0000 2.0000 10.0000 9.0000 1.0000 0.0498 0.2495 2.2455 0.0500 0.0900 m 0.2390 2.4955 1.5209 4.0047 0.2393 0.2018 0.3237 0.2355 0.2865 0.1735 0.3085 0.2170 0.2598 0.0000 0.0000 0.0000 
masterclass 4.0000 1.0000 18.0000 12.0000 2.0000 12.0000 11.0000 2.0000 0.0964 0.2498 2.7475 0.0500 0.0900 m 0.1870 2.9975 1.5750 4.5566 0.3646 0.1523 0.2468 0.1600 0.3756 0.1798 0.3427 0.2300 0.1643 0.3769 0.1546 0.0000 
masterclass 4.0000 1.0000 3.0000 4.0000 1.0000 4.0000 3.0000 2.0000 0.0966 0.2488 0.7464 0.0500 0.0900 m 0.3450 0.9964 1.6501 2.6389 0.3568 0.2193 0.1704 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
masterclass 4.0000 1.0000 5.0000 5.0000 1.0000 5.0000 4.0000 1.0000 0.0280 0.2506 1.0023 0.0500 0.0900 m 0.1850 1.2523 1.5644 2.8115 0.2452 0.2703 0.2132 0.2736 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
masterclass 4.0000 1.0000 9.0000 6.0000 1.0000 6.0000 5.0000 2.0000 0.1176 0.2493 1.2464 0.0500 0.0900 m 0.1860 1.4964 1.6733 3.1555 0.1608 0.3564 0.1818 0.3967 0.1507 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
masterclass 4.0000 1.0000 17.0000 12.0000 2.0000 12.0000 11.0000 1.0000 0.0493 0.2501 2.7509 0.0500 0.0900 m 0.1950 3.0009 1.7026 4.6933 0.2901 0.2517 0.1900 0.2765 0.2045 0.2810 0.2461 0.2178 0.3458 0.2668 0.1806 0.0000 
masterclass 4.0000 2.0000 2.0000 4.0000 1.0000 4.0000 3.0000 1.0000 0.0446 0.2493 0.7478 0.0500 0.0900 m 0.1980 0.9978 1.7177 2.7070 0.2914 0.2026 0.2538 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
masterclass 4.0000 2.0000 12.0000 10.0000 2.0000 10.0000 9.0000 2.0000 0.0933 0.2504 2.2534 0.0500 0.0900 m 0.1910 2.5034 1.6970 4.1959 0.1928 0.3906 0.1533 0.2208 0.1559 0.2668 0.1720 0.3303 0.3710 0.0000 0.0000 0.0000 
masterclass 4.0000 2.0000 3.0000 4.0000 1.0000 4.0000 3.0000 2.0000 0.1008 0.2505 0.7516 0.0500 0.0900 m 0.2220 1.0016 1.5808 2.5774 0.2367 0.3576 0.1574 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
masterclass 4.0000 2.0000 4.0000 5.0000 1.0000 5.0000 4.0000 0.0000 0.0000 0.2500 1.0000 0.0500 0.0900 m 0.1880 1.2500 1.5671 2.8090 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
masterclass 4.0000 2.0000 17.0000 12.0000 2.0000 12.0000 11.0000 1.0000 0.0413 0.2496 2.7458 0.0500 0.0900 m 0.1710 2.9958 1.5028 4.4882 0.2683 0.2235 0.2827 0.2239 0.1740 0.2842 0.2209 0.3087 0.2149 0.2925 0.2521 0.0000 
masterclass 4.0000 2.0000 11.0000 10.0000 2.0000 10.0000 9.0000 1.0000 0.0463 0.2497 2.2469 0.0500 0.0900 m 0.1740 2.4969 1.6849 4.1727 0.1860 0.2498 0.1887 0.2837 0.2234 0.2746 0.2352 0.3258 0.2797 0.0000 0.0000 0.0000 
masterclass 4.0000 2.0000 8.0000 6.0000 1.0000 6.0000 5.0000 1.0000 0.0480 0.2495 1.2474 0.0500 0.0900 m 0.2130 1.4974 1.6785 3.1732 0.2891 0.1815 0.2769 0.2164 0.2835 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
masterclass 4.0000 2.0000 7.0000 6.0000 1.0000 6.0000 5.0000 0.0000 0.0000 0.2500 1.2500 0.0500 0.0900 m 0.1540 1.5000 1.7402 3.2259 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
masterclass 4.0000 2.0000 9.0000 6.0000 1.0000 6.0000 5.0000 2.0000 0.0937 0.2503 1.2516 0.0500 0.0900 m 0.1600 1.5016 1.5621 3.0607 0.1603 0.2184 0.1754 0.3705 0.3271 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
