group subNo block index seqDur shortLong nTargets nIOI rhythmicVarTAG seqSTD seqMeanIOI seqSumIOI Lowbound Upbound pressedKey rt seqDuration startInterval trialDuration IOI1 IOI2 IOI3 IOI4 IOI5 IOI6 IOI7 IOI8 IOI9 
main 11.0000 1.0000 8.0000 6.0000 0.0000 6.0000 5.0000 1.0000 0.0551 0.2502 1.2510 0.0349 0.0588 b 0.1370 1.5010 1.4611 1.4528 0.3097 0.2444 0.3019 0.2106 0.1845 0.0000 0.0000 0.0000 0.0000 
main 11.0000 1.0000 25.0000 5.0000 0.0000 5.0000 4.0000 0.0000 0.0000 0.2500 1.0000 0.0000 0.0000 b 0.1880 1.2500 1.0655 1.0572 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 0.0000 
main 11.0000 1.0000 5.0000 5.0000 0.0000 5.0000 4.0000 1.0000 0.0569 0.2504 1.0015 0.0349 0.0588 b 0.1990 1.2515 1.3814 1.3731 0.2934 0.1690 0.2540 0.2852 0.0000 0.0000 0.0000 0.0000 0.0000 
main 11.0000 1.0000 49.0000 6.0000 0.0000 6.0000 5.0000 0.0000 0.0000 0.2500 1.2500 0.0000 0.0000 b 0.1540 1.5000 1.2456 1.2372 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 
main 11.0000 1.0000 12.0000 7.0000 1.0000 7.0000 6.0000 2.0000 0.0962 0.2506 1.5038 0.0906 0.1145 b 0.1630 1.7538 1.2885 1.2802 0.2626 0.1508 0.1918 0.3836 0.1711 0.3439 0.0000 0.0000 0.0000 
main 11.0000 1.0000 41.0000 10.0000 2.0000 10.0000 9.0000 1.0000 0.0517 0.2504 2.2540 0.0349 0.0588 b 0.1580 2.5040 1.4678 1.4594 0.2267 0.1560 0.2653 0.3160 0.2177 0.2736 0.2204 0.3199 0.2582 
main 11.0000 1.0000 40.0000 10.0000 2.0000 10.0000 9.0000 0.0000 0.0000 0.2500 2.2500 0.0000 0.0000 b 0.1470 2.5000 1.0610 1.0527 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 
main 11.0000 1.0000 27.0000 5.0000 0.0000 5.0000 4.0000 2.0000 0.1016 0.2505 1.0019 0.0906 0.1145 b 0.2210 1.2519 1.4465 1.4382 0.3736 0.1740 0.2938 0.1606 0.0000 0.0000 0.0000 0.0000 0.0000 
main 11.0000 1.0000 24.0000 4.0000 0.0000 4.0000 3.0000 2.0000 0.0968 0.2500 0.7500 0.0906 0.1145 b 0.2180 1.0000 1.3485 1.3402 0.2040 0.3613 0.1847 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
main 11.0000 1.0000 26.0000 5.0000 0.0000 5.0000 4.0000 1.0000 0.0387 0.2507 1.0027 0.0349 0.0588 b 0.2100 1.2527 1.2099 1.2016 0.2117 0.2411 0.3041 0.2458 0.0000 0.0000 0.0000 0.0000 0.0000 
main 11.0000 1.0000 28.0000 6.0000 0.0000 6.0000 5.0000 0.0000 0.0000 0.2500 1.2500 0.0000 0.0000 b 0.1620 1.5000 1.0272 1.0189 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 
main 11.0000 1.0000 53.0000 7.0000 1.0000 7.0000 6.0000 1.0000 0.0583 0.2497 1.4983 0.0349 0.0588 b 0.1470 1.7483 1.3396 1.3313 0.2505 0.2194 0.2576 0.3518 0.1752 0.2437 0.0000 0.0000 0.0000 
main 11.0000 1.0000 37.0000 9.0000 1.0000 9.0000 8.0000 0.0000 0.0000 0.2500 2.0000 0.0000 0.0000 b 0.1560 2.2500 1.3829 1.3745 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 
main 11.0000 1.0000 1.0000 4.0000 0.0000 4.0000 3.0000 0.0000 0.0000 0.2500 0.7500 0.0000 0.0000 b 0.2590 1.0000 1.4060 1.3977 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
main 11.0000 1.0000 10.0000 7.0000 1.0000 7.0000 6.0000 0.0000 0.0000 0.2500 1.5000 0.0000 0.0000 b 0.1650 1.7500 1.4100 1.4016 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 
main 11.0000 1.0000 35.0000 8.0000 1.0000 8.0000 7.0000 1.0000 0.0466 0.2506 1.7544 0.0349 0.0588 b 0.1690 2.0044 1.2077 1.1994 0.2112 0.2840 0.2020 0.2906 0.1938 0.3038 0.2689 0.0000 0.0000 
main 11.0000 1.0000 42.0000 10.0000 2.0000 10.0000 9.0000 2.0000 0.0950 0.2496 2.2463 0.0906 0.1145 b 0.2120 2.4963 1.4902 1.4819 0.2104 0.1812 0.3863 0.1637 0.2650 0.3883 0.1773 0.3231 0.1508 
main 11.0000 1.0000 16.0000 9.0000 1.0000 9.0000 8.0000 0.0000 0.0000 0.2500 2.0000 0.0000 0.0000 b 0.1770 2.2500 1.0776 1.0693 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 
main 11.0000 1.0000 47.0000 5.0000 0.0000 5.0000 4.0000 1.0000 0.0581 0.2510 1.0038 0.0349 0.0588 b 0.2160 1.2538 1.2925 1.2842 0.2358 0.1771 0.3113 0.2796 0.0000 0.0000 0.0000 0.0000 0.0000 
main 11.0000 1.0000 21.0000 10.0000 2.0000 10.0000 9.0000 2.0000 0.0923 0.2498 2.2480 0.0906 0.1145 b 0.2130 2.4980 1.3719 1.3636 0.3090 0.1612 0.2681 0.1577 0.3861 0.1686 0.2596 0.1641 0.3735 
main 11.0000 1.0000 63.0000 10.0000 2.0000 10.0000 9.0000 2.0000 0.0941 0.2503 2.2525 0.0906 0.1145 b 0.1690 2.5025 1.4221 1.4138 0.2635 0.3426 0.2346 0.3795 0.1510 0.3734 0.1786 0.1504 0.1790 
main 11.0000 1.0000 38.0000 9.0000 1.0000 9.0000 8.0000 1.0000 0.0443 0.2498 1.9982 0.0349 0.0588 b 0.2090 2.2482 1.3801 1.3717 0.2030 0.2305 0.2988 0.2275 0.3031 0.2682 0.1859 0.2812 0.0000 
main 11.0000 1.0000 58.0000 9.0000 1.0000 9.0000 8.0000 0.0000 0.0000 0.2500 2.0000 0.0000 0.0000 b 0.2030 2.2500 1.3247 1.3163 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 
main 11.0000 1.0000 43.0000 4.0000 0.0000 4.0000 3.0000 0.0000 0.0000 0.2500 0.7500 0.0000 0.0000 b 0.2290 1.0000 1.2753 1.2670 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
main 11.0000 1.0000 15.0000 8.0000 1.0000 8.0000 7.0000 2.0000 0.0914 0.2503 1.7518 0.0906 0.1145 b 0.1760 2.0018 1.1537 1.1454 0.3720 0.1571 0.1830 0.2514 0.1542 0.3615 0.2726 0.0000 0.0000 
main 11.0000 1.0000 3.0000 4.0000 0.0000 4.0000 3.0000 2.0000 0.1079 0.2508 0.7525 0.0906 0.1145 b 0.3240 1.0025 1.3779 1.3695 0.2314 0.1540 0.3671 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
