1	0	4	0
2	0	4	1
3	0	4	2
4	0	5	0
5	0	5	1
6	0	5	2
7	0	6	0
8	0	6	1
9	0	6	2
10	1	7	0
11	1	7	1
12	1	7	2
13	1	8	0
14	1	8	1
15	1	8	2
16	1	9	0
17	1	9	1
18	1	9	2
19	2	10	0
20	2	10	1
21	2	10	2
22	0	4	0
23	0	4	1
24	0	4	2
25	0	5	0
26	0	5	1
27	0	5	2
28	0	6	0
29	0	6	1
30	0	6	2
31	1	7	0
32	1	7	1
33	1	7	2
34	1	8	0
35	1	8	1
36	1	8	2
37	1	9	0
38	1	9	1
39	1	9	2
40	2	10	0
41	2	10	1
42	2	10	2
43	0	4	0
44	0	4	1
45	0	4	2
46	0	5	0
47	0	5	1
48	0	5	2
49	0	6	0
50	0	6	1
51	0	6	2
52	1	7	0
53	1	7	1
54	1	7	2
55	1	8	0
56	1	8	1
57	1	8	2
58	1	9	0
59	1	9	1
60	1	9	2
61	2	10	0
62	2	10	1
63	2	10	2
