colour subNo block index seqDur seqDurTag nTargets nIOI rhythmicVarTAG seqSTD seqMeanIOI seqSumIOI stdLowbound stdUpbound pressedKey rt seqDuration startInterval trialDuration IOI1 IOI2 IOI3 IOI4 IOI5 IOI6 IOI7 IOI8 IOI9 IOI10 IOI11 IOI12 
masterclass 3.0000 2.0000 17.0000 12.0000 2.0000 12.0000 11.0000 1.0000 0.0492 0.2499 2.7489 0.0500 0.0900 m 0.1090 2.9989 1.6682 4.6580 0.1821 0.3018 0.1646 0.2078 0.2973 0.2644 0.2997 0.2720 0.2167 0.2864 0.2559 0.0000 
masterclass 3.0000 2.0000 3.0000 4.0000 1.0000 4.0000 3.0000 2.0000 0.1165 0.2515 0.7545 0.0500 0.0900 m 0.1460 1.0045 1.7499 2.7469 0.1634 0.2075 0.3836 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
masterclass 3.0000 2.0000 11.0000 10.0000 2.0000 10.0000 9.0000 1.0000 0.0471 0.2497 2.2473 0.0500 0.0900 m 0.1410 2.4973 1.5253 4.0064 0.2969 0.2449 0.3003 0.2517 0.2024 0.2641 0.2969 0.2288 0.1613 0.0000 0.0000 0.0000 
masterclass 3.0000 2.0000 4.0000 5.0000 1.0000 5.0000 4.0000 0.0000 0.0000 0.2500 1.0000 0.0500 0.0900 m 0.1560 1.2500 1.6039 2.8425 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
masterclass 3.0000 2.0000 16.0000 12.0000 2.0000 12.0000 11.0000 0.0000 0.0000 0.2500 2.7500 0.0500 0.0900 m 0.1080 3.0000 1.7437 4.7425 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 
masterclass 3.0000 2.0000 12.0000 10.0000 2.0000 10.0000 9.0000 2.0000 0.0913 0.2496 2.2464 0.0500 0.0900 m 0.1680 2.4964 1.6386 4.1221 0.1515 0.2084 0.2380 0.1671 0.3477 0.3945 0.3501 0.2233 0.1660 0.0000 0.0000 0.0000 
masterclass 3.0000 2.0000 2.0000 4.0000 1.0000 4.0000 3.0000 1.0000 0.0357 0.2498 0.7495 0.0500 0.0900 m 0.1550 0.9995 1.5105 2.5086 0.2557 0.2823 0.2116 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
masterclass 3.0000 2.0000 15.0000 11.0000 2.0000 11.0000 10.0000 2.0000 0.0946 0.2503 2.5035 0.0500 0.0900 m 0.1570 2.7535 1.5399 4.2791 0.2193 0.1634 0.1942 0.3104 0.1981 0.1597 0.3953 0.3099 0.1575 0.3956 0.0000 0.0000 
masterclass 3.0000 2.0000 5.0000 5.0000 1.0000 5.0000 4.0000 1.0000 0.0354 0.2510 1.0038 0.0500 0.0900 m 0.1430 1.2538 1.5078 2.7461 0.2199 0.2718 0.2221 0.2900 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
masterclass 3.0000 2.0000 14.0000 11.0000 2.0000 11.0000 10.0000 1.0000 0.0474 0.2501 2.5010 0.0500 0.0900 m 0.1560 2.7510 1.5370 4.2769 0.2455 0.3322 0.2209 0.3167 0.2601 0.1806 0.2225 0.2533 0.2031 0.2662 0.0000 0.0000 
masterclass 3.0000 2.0000 10.0000 10.0000 2.0000 10.0000 9.0000 0.0000 0.0000 0.2500 2.2500 0.0500 0.0900 m 0.1550 2.5000 1.5215 4.0090 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 
masterclass 3.0000 2.0000 13.0000 11.0000 2.0000 11.0000 10.0000 0.0000 0.0000 0.2500 2.5000 0.0500 0.0900 m 0.1720 2.7500 1.6115 4.3591 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 
masterclass 3.0000 2.0000 6.0000 5.0000 1.0000 5.0000 4.0000 2.0000 0.1142 0.2512 1.0048 0.0500 0.0900 m 0.1540 1.2548 1.5798 2.8305 0.1539 0.3803 0.1564 0.3141 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
masterclass 3.0000 2.0000 9.0000 6.0000 1.0000 6.0000 5.0000 2.0000 0.0991 0.2491 1.2454 0.0500 0.0900 m 0.1620 1.4954 1.7196 3.2046 0.3778 0.3307 0.1605 0.2080 0.1684 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
masterclass 3.0000 2.0000 18.0000 12.0000 2.0000 12.0000 11.0000 2.0000 0.0921 0.2499 2.7491 0.0500 0.0900 m 0.1330 2.9991 1.6983 4.6915 0.1880 0.1512 0.3641 0.3893 0.2641 0.1665 0.1993 0.1730 0.3968 0.2459 0.2109 0.0000 
masterclass 3.0000 2.0000 1.0000 4.0000 1.0000 4.0000 3.0000 0.0000 0.0000 0.2500 0.7500 0.0500 0.0900 m 0.1570 1.0000 1.6304 2.6258 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
masterclass 3.0000 2.0000 7.0000 6.0000 1.0000 6.0000 5.0000 0.0000 0.0000 0.2500 1.2500 0.0500 0.0900 m 0.1310 1.5000 1.5450 3.0424 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
masterclass 3.0000 3.0000 7.0000 6.0000 1.0000 6.0000 5.0000 0.0000 0.0000 0.2500 1.2500 0.0500 0.0900 m 0.1410 1.5000 1.6823 3.1759 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
masterclass 3.0000 3.0000 11.0000 10.0000 2.0000 10.0000 9.0000 1.0000 0.0486 0.2496 2.2461 0.0500 0.0900 m 0.1390 2.4961 1.6359 4.1218 0.2054 0.2981 0.1945 0.3042 0.2440 0.3171 0.1950 0.2657 0.2221 0.0000 0.0000 0.0000 
masterclass 3.0000 3.0000 15.0000 11.0000 2.0000 11.0000 10.0000 2.0000 0.0979 0.2502 2.5015 0.0500 0.0900 m 0.1340 2.7515 1.5939 4.3440 0.1523 0.2550 0.3860 0.3343 0.1536 0.3839 0.1578 0.1922 0.1662 0.3203 0.0000 0.0000 
masterclass 3.0000 3.0000 13.0000 11.0000 2.0000 11.0000 10.0000 0.0000 0.0000 0.2500 2.5000 0.0500 0.0900 m 0.1450 2.7500 1.5553 4.2925 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 
masterclass 3.0000 3.0000 10.0000 10.0000 2.0000 10.0000 9.0000 0.0000 0.0000 0.2500 2.2500 0.0500 0.0900 m 0.1400 2.5000 1.6555 4.1423 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 
masterclass 3.0000 3.0000 5.0000 5.0000 1.0000 5.0000 4.0000 1.0000 0.0389 0.2506 1.0024 0.0500 0.0900 m 0.1860 1.2524 1.6055 2.8449 0.2774 0.1980 0.2446 0.2825 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
masterclass 3.0000 3.0000 6.0000 5.0000 1.0000 5.0000 4.0000 2.0000 0.1038 0.2505 1.0021 0.0500 0.0900 m 0.1320 1.2521 1.5107 2.7611 0.1825 0.1536 0.2845 0.3815 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
masterclass 3.0000 3.0000 1.0000 4.0000 1.0000 4.0000 3.0000 0.0000 0.0000 0.2500 0.7500 0.0500 0.0900 m 0.1390 1.0000 1.6426 2.6425 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
masterclass 3.0000 3.0000 17.0000 12.0000 2.0000 12.0000 11.0000 1.0000 0.0442 0.2501 2.7506 0.0500 0.0900 m 0.1190 3.0006 1.6799 4.6764 0.1791 0.2759 0.2319 0.3232 0.2914 0.2459 0.2774 0.2192 0.1889 0.2384 0.2794 0.0000 
masterclass 3.0000 3.0000 12.0000 10.0000 2.0000 10.0000 9.0000 2.0000 0.0913 0.2498 2.2484 0.0500 0.0900 m 0.1010 2.4984 1.5502 4.0408 0.2181 0.1649 0.2788 0.2188 0.3883 0.1562 0.3956 0.2634 0.1644 0.0000 0.0000 0.0000 
masterclass 3.0000 3.0000 9.0000 6.0000 1.0000 6.0000 5.0000 2.0000 0.0970 0.2495 1.2476 0.0500 0.0900 m 0.1540 1.4976 1.6303 3.1233 0.1621 0.3405 0.1756 0.2018 0.3676 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
masterclass 3.0000 3.0000 2.0000 4.0000 1.0000 4.0000 3.0000 1.0000 0.0479 0.2484 0.7451 0.0500 0.0900 m 0.1370 0.9951 1.6945 2.6875 0.2989 0.2425 0.2037 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
masterclass 3.0000 3.0000 4.0000 5.0000 1.0000 5.0000 4.0000 0.0000 0.0000 0.2500 1.0000 0.0500 0.0900 m 0.1320 1.2500 1.6969 2.9425 0.2500 0.2500 0.2500 0.2500 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
masterclass 3.0000 3.0000 16.0000 12.0000 2.0000 12.0000 11.0000 0.0000 0.0000 0.2500 2.7500 0.0500 0.0900 m 0.1150 3.0000 1.5779 4.5758 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.2500 0.0000 
masterclass 3.0000 3.0000 18.0000 12.0000 2.0000 12.0000 11.0000 2.0000 0.0943 0.2498 2.7483 0.0500 0.0900 m 0.1220 2.9983 1.5759 4.5740 0.1809 0.1504 0.3977 0.3509 0.1642 0.2326 0.1621 0.2276 0.1857 0.3864 0.3099 0.0000 
masterclass 3.0000 3.0000 3.0000 4.0000 1.0000 4.0000 3.0000 2.0000 0.0926 0.2489 0.7466 0.0500 0.0900 m 0.1570 0.9966 1.6417 2.6224 0.3487 0.2319 0.1659 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
masterclass 3.0000 3.0000 8.0000 6.0000 1.0000 6.0000 5.0000 1.0000 0.0456 0.2506 1.2531 0.0500 0.0900 m 0.1420 1.5031 1.6779 3.1789 0.2844 0.2299 0.2994 0.2547 0.1846 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 
masterclass 3.0000 3.0000 14.0000 11.0000 2.0000 11.0000 10.0000 1.0000 0.0495 0.2500 2.5003 0.0500 0.0900 m 0.1270 2.7503 1.7282 4.4761 0.3120 0.2138 0.2527 0.3101 0.2095 0.2464 0.2076 0.2852 0.1684 0.2945 0.0000 0.0000 
